20000 69301 0 nan 42832 92486
21000 68351 0 nan 39231 91028
22000 67798 0 nan 42818 91248
23000 67894 0 nan 38008 87035
24000 67130 0 nan 37436 90970
25000 67392 0 nan 37812 88299
26000 66820 0 nan 39702 88933
27000 66471 0 nan 38416 86064
28000 66102 0 nan 40356 89580
29000 66109 0 nan 35838 87021
30000 66210 0 nan 40554 86199
31000 65740 0 nan 31605 86871
32000 66033 0 nan 39901 86704
33000 65242 0 nan 35546 84962
34000 65130 0 nan 38696 84918
35000 65561 0 nan 36673 86676
36000 65755 0 nan 39768 84375
37000 65108 0 nan 38580 83561
38000 65128 0 nan 39281 85687
39000 64642 0 nan 36090 82504
40000 65095 0 nan 38729 84218
41000 64448 0 nan 37073 82408
42000 64856 0 nan 40440 82219
43000 64680 0 nan 39463 83434
44000 64269 0 nan 35841 84041
45000 65081 0 nan 35855 82819
46000 64444 0 nan 34005 84984
47000 64767 0 nan 37612 83414
48000 64660 0 nan 35715 81479
49000 64004 0 nan 36003 82680
